,title,address,description,price,date,seller,image
282,5 bedroom detached house for sale,"Cockey Moor Road, Bury, BL8","We are proud to present this impressive and imposing post war detached residence of generous proportions, occupying what is perhaps one of the most prestigious locations on this side of town and enjoying a pleasant rural aspect to the side and at the rear.Set in excess of three quarters...","£1,400,000",24/10/2022," JonSimon Estate Agents, Ramsbottom",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/151k/150941/128359586/150941_25476447_IMG_00_0000_max_476x317.jpeg
283,4 bedroom detached house for sale,"Acresdale, Bolton, Greater Manchester, BL6",This stunning property has undergone an extensive rebuild by the present owners. Originally built in 1973 this property has been completely transformed resulting in a fabulous family property maximising modern energy efficiency throughout. Occupying a large plot in leafy Lostock with close proximit,"£1,395,000",01/12/2022," Joncol Properties Ltd, Bamber Bridge",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/255k/254336/129639359/254336_JCP001_IMG_29_0000_max_476x317.jpeg
284,5 bedroom detached house for sale,"Sunningdale, Chorley New Road, – SOLD –","Sunningdale is an elegant, period home offering the grandeur & elegance a residence of this era can only offer. Fine Arts & Crafts Edwardian Residence with superb south facing garden.   Key features A handsome detached family house ~ three receptions and Bespoke fitted st...","£1,300,000",16/12/2022," PLM, Bolton",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/78k/77103/121066520/77103_19285_IMG_33_0000_max_476x317.jpeg
285,4 bedroom detached house for sale,"Entwistle Hall Lane, Turton, Bolton, Lancashire, BL7","** DETACHED FARMHOUSE BUILT IN 2007 ** STUNNING FAR REACHING VIEWS ** THREE ACRE PLOT WITH A DETACHED BARN Some properties have just got it and this certainly fits the bill. Sit back, relax and take in some of the finest surroundings Lancashire has to offer. Welcome to Three Acre Farm...","£1,250,000",28/10/2022," Miller Metcalfe, Harwood",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/221k/220892/121675469/220892_HWH200356_IMG_01_0000_max_476x317.jpeg
286,5 bedroom detached house for sale,"Attwood House, Markland Hill, Bolton, BL1 5AL","Millbrooke Estate Agents are delighted to offer for sale this truly unique property. Situated within a prestigious gated development of just 7 luxury properties in the heart of Markland Hill. This stunning 5-bedroom detached property isn't just a home, its a lifestyle.","£1,150,000",16/11/2022," Millbrooke Estate Agents, Worsley",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76700/129147251/76700_531_IMG_00_0000_max_476x317.jpeg
287,4 bedroom detached house for sale,"Chorley New Road, Bolton, BL1 5AD ~ This is Something Rather Special ~","This is something rather special, with appeal to the discerning & those seeking ”something different & individual” within the current property market. Oaklawn is almost hidden from view from Chorley New Road approached via an extensive driveway leading to a mature, desirable four be...","£1,100,000",17/10/2022," PLM, Bolton",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/78k/77103/128106686/77103_22509_IMG_00_0000_max_476x317.jpeg
288,Detached house for sale,"Wingates Lane, Lostock, Bolton","Best and final offers - Wednesday 11th January 2023 Strategically located farm with 4-bedroom farmhouse in need of full refurbishment, Range of versatile farm buildings and yard Productive Grade 3 land extending in all to 69.34 acres (26.06 hectares). For Sale as a whole or in Lo...","£1,000,000",01/12/2022," Armitstead Barnett, Burscough",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/53k/52504/129662297/52504_GAR220492_IMG_00_0000_max_476x317.jpeg
289,5 bedroom detached house for sale,"Belgravia House, 4 Clare Bank",Please contact the office for more details ~ Just four select residences within a secure gated development ~ Bespoke Individually designed Homes ~ Flexible five bedroom accommodation arranged over four floors ~ The epitome of sheer opulence & luxury ~ A most desirable sought after open woo...,"£999,995",04/02/2022," PLM, Bolton",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/78k/77103/119546963/77103_19179_IMG_00_0000_max_476x317.jpeg
290,6 bedroom detached house for sale,"Smithills Dean Road, Smithills, BL1 6JZ",Prime sought after semi rural location Individually designed Six double bedroom detached residence Offering just over 5100 sq.ft of versatile accommodation on approx. 1 acre plot Extensive accommodation arranged over three floors. Delightful & sought after location on the edge of ...,"£995,000",06/07/2022," PLM, Bolton",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/78k/77103/124705985/77103_21370_IMG_00_0000_max_476x317.jpeg
291,5 bedroom detached house for sale,"Northwold Drive, Heaton, Bolton, Greater Manchester, BL1","** LOCATION ** LOCATION ** LOCATION ** SOUGHT AFTER DEVELOPMENT IN HEATON ** SITS ON 0.73 ACRES ** NO CHAIN ** Standing proudly within a large 0.73 acres of, private mature plot upon one of Bolton's most premier roads, this spectacular individual detached home offers exceptionally s...","£980,000",05/09/2022," Miller Metcalfe, Bolton",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/221k/220871/123218405/220871_BTN200026_IMG_24_0001_max_476x317.jpeg
292,4 bedroom detached bungalow for sale,"Corn Cop, 5 Ravenswood Drive, Heaton, Bolton, BL1 5AJ","Exceptionally spacious & well presented four double bedroom detached bungalow   ~Elegance & style throughout~   Tastefully extended and occupying a delightful position enjoying a most attractive, private rear garden in approx. 0.5 acre plot Carl Josef Bespoke Fitt...","£975,000",03/10/2022," PLM, Bolton",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/78k/77103/127665368/77103_22336_IMG_00_0000_max_476x317.jpeg
